language_guess,corpus_family,encoding,event,metric,signal_family,z,abs_z,direction,p_emp,input,report_file
ar,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-4.805893189478,4.805893189478,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json
ar,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-4.68674444309,4.68674444309,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json
ar,parallel_udhr,word_boundary,word_boundary,prime_gap_affinity,word_boundary,-3.343655805782,3.343655805782,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json
ar,parallel_udhr,frequency_class,high_frequency,critical_line_symmetry,frequency_class,-3.180822308941,3.180822308941,lower_than_null,0.019801980198,,outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json
de,parallel_udhr,grapheme,vowel,prime_gap_affinity,vowel_consonant,-6.060753589891,6.060753589891,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json
de,parallel_udhr,grapheme_class,vowel,prime_gap_affinity,vowel_consonant,-5.81791047035,5.81791047035,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json
de,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-4.96290184032,4.96290184032,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json
de,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-5.286653380979,5.286653380979,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json
de,parallel_udhr,word_boundary,word_boundary,prime_gap_affinity,word_boundary,-12.614507941893,12.614507941893,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json
el,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-3.372605878157,3.372605878157,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\el_udhr_el_canonical.json
el,parallel_udhr,word_boundary,word_boundary,prime_gap_affinity,word_boundary,-5.755029414422,5.755029414422,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\el_udhr_el_canonical.json
en,parallel_udhr,word_boundary,word_boundary,prime_gap_affinity,word_boundary,-9.014021314902,9.014021314902,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\en_udhr_en_canonical.json
es,parallel_udhr,grapheme,vowel,prime_gap_affinity,vowel_consonant,-3.576347749763,3.576347749763,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json
es,parallel_udhr,grapheme_class,vowel,prime_gap_affinity,vowel_consonant,-3.987027798075,3.987027798075,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json
es,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-5.708398400678,5.708398400678,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json
es,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-4.756083472282,4.756083472282,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json
fr,parallel_udhr,grapheme,vowel,prime_gap_affinity,vowel_consonant,-3.614514805781,3.614514805781,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\fr_udhr_fr_canonical.json
fr,parallel_udhr,grapheme_class,vowel,prime_gap_affinity,vowel_consonant,-4.042246745631,4.042246745631,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\fr_udhr_fr_canonical.json
he,parallel_udhr,grapheme,consonant,run_entropy,vowel_consonant,-4.096905098418,4.096905098418,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json
he,parallel_udhr,grapheme_class,consonant,run_entropy,vowel_consonant,-4.320632975853,4.320632975853,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json
he,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-5.01438152505,5.01438152505,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json
he,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-4.787385122923,4.787385122923,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json
is,parallel_udhr,grapheme,vowel,prime_gap_affinity,vowel_consonant,-4.684721598906,4.684721598906,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme,punctuation,gap_entropy,punctuation,-6.165620618976,6.165620618976,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme,punctuation,run_entropy,punctuation,-6.011636954364,6.011636954364,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme,punctuation,prime_gap_affinity,punctuation,3.827645685664,3.827645685664,higher_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme_class,vowel,prime_gap_affinity,vowel_consonant,-4.163005279876,4.163005279876,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme_class,punctuation,gap_entropy,punctuation,-6.03196426828,6.03196426828,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme_class,punctuation,run_entropy,punctuation,-6.077768757841,6.077768757841,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
is,parallel_udhr,grapheme_class,punctuation,prime_gap_affinity,punctuation,3.939677009279,3.939677009279,higher_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json
ja,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-10.155027735209,10.155027735209,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\ja_udhr_ja_canonical.json
ja,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-9.79346589725,9.79346589725,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\ja_udhr_ja_canonical.json
la,parallel_udhr,grapheme,vowel,prime_gap_affinity,vowel_consonant,-3.905191791012,3.905191791012,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\la_udhr_la_canonical.json
la,parallel_udhr,grapheme_class,vowel,prime_gap_affinity,vowel_consonant,-3.756003253901,3.756003253901,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\la_udhr_la_canonical.json
la,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-5.496621557387,5.496621557387,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\la_udhr_la_canonical.json
la,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-6.011814183198,6.011814183198,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\la_udhr_la_canonical.json
sw,parallel_udhr,grapheme,punctuation,gap_entropy,punctuation,-5.496691323439,5.496691323439,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\sw_udhr_sw_canonical.json
sw,parallel_udhr,grapheme,punctuation,run_entropy,punctuation,-5.311908269548,5.311908269548,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\sw_udhr_sw_canonical.json
sw,parallel_udhr,grapheme_class,punctuation,gap_entropy,punctuation,-6.349022859443,6.349022859443,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\sw_udhr_sw_canonical.json
sw,parallel_udhr,grapheme_class,punctuation,run_entropy,punctuation,-6.040746628362,6.040746628362,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\sw_udhr_sw_canonical.json
tr,parallel_udhr,grapheme,punctuation,gap_entropy,punctuation,-5.817090558011,5.817090558011,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,grapheme,punctuation,run_entropy,punctuation,-5.583969143698,5.583969143698,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,grapheme_class,punctuation,gap_entropy,punctuation,-5.558873452845,5.558873452845,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,grapheme_class,punctuation,run_entropy,punctuation,-5.240083985583,5.240083985583,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-4.959640309803,4.959640309803,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-5.080520555765,5.080520555765,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,word_boundary,word_boundary,prime_gap_affinity,word_boundary,-5.929917685193,5.929917685193,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
tr,parallel_udhr,frequency_class,high_frequency,prime_index_occupancy_bias,frequency_class,3.026788964937,3.026788964937,higher_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json
xh,parallel_udhr,grapheme,consonant,prime_gap_affinity,vowel_consonant,-3.294663207542,3.294663207542,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme,punctuation,gap_entropy,punctuation,-5.764397764681,5.764397764681,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme,punctuation,run_entropy,punctuation,-5.503584748717,5.503584748717,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme,punctuation,prime_gap_affinity,punctuation,5.257498559164,5.257498559164,higher_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme_class,consonant,prime_gap_affinity,vowel_consonant,-3.029635035322,3.029635035322,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme_class,punctuation,gap_entropy,punctuation,-5.642332385672,5.642332385672,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme_class,punctuation,run_entropy,punctuation,-5.505205788308,5.505205788308,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,grapheme_class,punctuation,prime_gap_affinity,punctuation,4.666897081734,4.666897081734,higher_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-10.36961481091,10.36961481091,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
xh,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-10.286595389955,10.286595389955,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json
zh,parallel_udhr,word_boundary,word_boundary,gap_entropy,word_boundary,-5.888456002156,5.888456002156,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\zh_udhr_zh_canonical.json
zh,parallel_udhr,word_boundary,word_boundary,run_entropy,word_boundary,-3.675489564219,3.675489564219,lower_than_null,0.009900990099,,outputs\canonical_udhr_v0_3_nulls100\zh_udhr_zh_canonical.json
