language_guess,signal_family,count,strongest_abs_z,strongest_event,strongest_metric,strongest_z
ar,word_boundary,3,4.805893,word_boundary,gap_entropy,-4.805893189478
ar,frequency_class,1,3.180822,high_frequency,critical_line_symmetry,-3.180822308941
de,word_boundary,3,12.614508,word_boundary,prime_gap_affinity,-12.614507941893
de,vowel_consonant,2,6.060754,vowel,prime_gap_affinity,-6.060753589891
el,word_boundary,2,5.755029,word_boundary,prime_gap_affinity,-5.755029414422
en,word_boundary,1,9.014021,word_boundary,prime_gap_affinity,-9.014021314902
es,vowel_consonant,2,3.987028,vowel,prime_gap_affinity,-3.987027798075
es,word_boundary,2,5.708398,word_boundary,gap_entropy,-5.708398400678
fr,vowel_consonant,2,4.042247,vowel,prime_gap_affinity,-4.042246745631
he,vowel_consonant,2,4.320633,consonant,run_entropy,-4.320632975853
he,word_boundary,2,5.014382,word_boundary,gap_entropy,-5.01438152505
is,vowel_consonant,2,4.684722,vowel,prime_gap_affinity,-4.684721598906
ja,word_boundary,2,10.155028,word_boundary,gap_entropy,-10.155027735209
la,vowel_consonant,2,3.905192,vowel,prime_gap_affinity,-3.905191791012
la,word_boundary,2,6.011814,word_boundary,run_entropy,-6.011814183198
tr,word_boundary,3,5.929918,word_boundary,prime_gap_affinity,-5.929917685193
tr,frequency_class,1,3.026789,high_frequency,prime_index_occupancy_bias,3.026788964937
xh,vowel_consonant,2,3.294663,consonant,prime_gap_affinity,-3.294663207542
xh,word_boundary,2,10.369615,word_boundary,gap_entropy,-10.36961481091
zh,word_boundary,2,5.888456,word_boundary,gap_entropy,-5.888456002156
