"language_guess","encoding","event","metric","z","p_emp","input"
"unknown","word_boundary","word_boundary","run_entropy","-94.141613377514","0.009900990099",""
"unknown","word_boundary","word_boundary","gap_entropy","-93.641445325503","0.009900990099",""
"unknown","word_boundary","word_boundary","prime_gap_affinity","-7.1217366277","0.009900990099",""
"mesu","grapheme_class","punctuation","run_entropy","-5.717142570019","0.009900990099",""
"mesu","grapheme_class","punctuation","gap_entropy","-5.644008350764","0.009900990099",""
"mesu","grapheme","punctuation","run_entropy","-5.61504761589","0.009900990099",""
"mesu","grapheme","punctuation","gap_entropy","-5.537641391811","0.009900990099",""
"mesu","frequency_class","high_frequency","run_entropy","-5.365652554623","0.009900990099",""
"unknown","word_boundary","word_boundary","prime_index_occupancy_bias","-5.049135673871","0.009900990099",""
"mesu","frequency_class","mid_frequency","run_entropy","-4.607846069294","0.009900990099",""
"mesu","grapheme_class","vowel","prime_gap_affinity","-4.453373385272","0.009900990099",""
"mesu","grapheme","vowel","prime_gap_affinity","-4.332295987792","0.009900990099",""
"mesu","frequency_class","mid_frequency","gap_entropy","-4.067543041046","0.009900990099",""
"mesu","word_boundary","word_boundary","gap_entropy","-3.817918853249","0.009900990099",""
"mesu","grapheme","punctuation","prime_gap_affinity","3.460460066451","0.009900990099",""
"mesu","word_boundary","word_boundary","prime_gap_affinity","3.35995778752","0.009900990099",""
