report_group,corpus_family,language_guess,severity,code,count
canonical_udhr_v0_3_nulls100,unknown,mesu,info,STATISTICAL_DEVIATION,29
canonical_udhr_v0_3_nulls100,unknown,mesu,warning,DEGENERATE_EVENT_MAP,5
canonical_udhr_v0_3_nulls100,unknown,mesu,warning,LOW_EVENT_COUNT,6
canonical_udhr_v0_3_nulls100,unknown,mesu,warning,OVER_REGULARITY_WARNING,7
canonical_udhr_v0_3_nulls100,unknown,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,13
canonical_udhr_v0_3_nulls100,unknown,unknown,info,STATISTICAL_DEVIATION,865
canonical_udhr_v0_3_nulls100,unknown,unknown,info,SURVIVES_MARKOV_2_NULL,87
canonical_udhr_v0_3_nulls100,unknown,unknown,warning,DEGENERATE_EVENT_MAP,45
canonical_udhr_v0_3_nulls100,unknown,unknown,warning,LOW_EVENT_COUNT,56
canonical_udhr_v0_3_nulls100,unknown,unknown,warning,OVER_REGULARITY_WARNING,254
canonical_udhr_v0_3_nulls100,unknown,unknown,warning,PERIODICITY_OR_CLUSTERING_WARNING,271
