report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,event_density,observed_only,0.576541274817,,,,,,,"{""name"": ""event_density"", ""value"": 0.576541274817, ""details"": ""count(event=true) / sequence_length""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,event_count,observed_only,4414.0,,,,,,,"{""name"": ""event_count"", ""value"": 4414, ""details"": ""Number of true positions in the event map.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,sequence_length,observed_only,7656.0,,,,,,,"{""name"": ""sequence_length"", ""value"": 7656, ""details"": ""Number of positions in the event map.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,modular_residue_peak_m_2,observed_only,0.502718622565,,,,,,,"{""name"": ""modular_residue_peak_m_2"", ""value"": 0.502718622565, ""details"": ""Largest event-position residue fraction modulo 2.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,modular_residue_peak_m_3,observed_only,0.337562301767,,,,,,,"{""name"": ""modular_residue_peak_m_3"", ""value"": 0.337562301767, ""details"": ""Largest event-position residue fraction modulo 3.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,modular_residue_peak_m_5,observed_only,0.204802899864,,,,,,,"{""name"": ""modular_residue_peak_m_5"", ""value"": 0.204802899864, ""details"": ""Largest event-position residue fraction modulo 5.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,modular_residue_peak_m_7,observed_only,0.149524241051,,,,,,,"{""name"": ""modular_residue_peak_m_7"", ""value"": 0.149524241051, ""details"": ""Largest event-position residue fraction modulo 7.""}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,gap_entropy,density_shuffle,1.690138723336,1.702987147313,0.000896483931,-14.332018165544,14.332018165544,0.009900990099,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.690138723336, ""null_mean"": 1.702987147313, ""null_std"": 0.000896483931, ""z_score"": -14.332018165544, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,run_entropy,density_shuffle,1.871665128583,2.042279843448,0.022952091946,-7.433514786712,7.433514786712,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.871665128583, ""null_mean"": 2.042279843448, ""null_std"": 0.022952091946, ""z_score"": -7.433514786712, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,prime_index_occupancy_bias,density_shuffle,-0.005773197719,-0.002015257242,0.014953405649,-0.251310006936,0.251310006936,0.80198019802,,"{""name"": ""prime_index_occupancy_bias"", ""null_model"": ""density_shuffle"", ""observed"": -0.005773197719, ""null_mean"": -0.002015257242, ""null_std"": 0.014953405649, ""z_score"": -0.251310006936, ""empirical_p"": 0.80198019802, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,prime_gap_affinity,density_shuffle,0.410605030591,0.369481078631,0.006177762386,6.656771398856,6.656771398856,0.009900990099,,"{""name"": ""prime_gap_affinity"", ""null_model"": ""density_shuffle"", ""observed"": 0.410605030591, ""null_mean"": 0.369481078631, ""null_std"": 0.006177762386, ""z_score"": 6.656771398856, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,zeta_spectral_coherence,density_shuffle,0.000280813955,0.000300879569,0.000102824283,-0.195144701452,0.195144701452,0.782178217822,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""density_shuffle"", ""observed"": 0.000280813955, ""null_mean"": 0.000300879569, ""null_std"": 0.000102824283, ""z_score"": -0.195144701452, ""empirical_p"": 0.782178217822, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,critical_line_symmetry,density_shuffle,0.824142627943,0.77760407087,0.040071003811,1.161402327062,1.161402327062,0.267326732673,,"{""name"": ""critical_line_symmetry"", ""null_model"": ""density_shuffle"", ""observed"": 0.824142627943, ""null_mean"": 0.77760407087, ""null_std"": 0.040071003811, ""z_score"": 1.161402327062, ""empirical_p"": 0.267326732673, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,gap_entropy,markov_1,1.690138723336,1.694604103816,0.020073204937,-0.222454784555,0.222454784555,0.821782178218,,"{""name"": ""gap_entropy"", ""null_model"": ""markov_1"", ""observed"": 1.690138723336, ""null_mean"": 1.694604103816, ""null_std"": 0.020073204937, ""z_score"": -0.222454784555, ""empirical_p"": 0.821782178218, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,run_entropy,markov_1,1.871665128583,1.882642095562,0.025068352481,-0.437881467767,0.437881467767,0.693069306931,,"{""name"": ""run_entropy"", ""null_model"": ""markov_1"", ""observed"": 1.871665128583, ""null_mean"": 1.882642095562, ""null_std"": 0.025068352481, ""z_score"": -0.437881467767, ""empirical_p"": 0.693069306931, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,prime_index_occupancy_bias,markov_1,-0.005773197719,0.002746838138,0.018054251074,-0.471913003895,0.471913003895,0.643564356436,,"{""name"": ""prime_index_occupancy_bias"", ""null_model"": ""markov_1"", ""observed"": -0.005773197719, ""null_mean"": 0.002746838138, ""null_std"": 0.018054251074, ""z_score"": -0.471913003895, ""empirical_p"": 0.643564356436, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,prime_gap_affinity,markov_1,0.410605030591,0.411188288246,0.007992076392,-0.072979489429,0.072979489429,0.960396039604,,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_1"", ""observed"": 0.410605030591, ""null_mean"": 0.411188288246, ""null_std"": 0.007992076392, ""z_score"": -0.072979489429, ""empirical_p"": 0.960396039604, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,zeta_spectral_coherence,markov_1,0.000280813955,0.00026819213,8.6926154e-05,0.145201699691,0.145201699691,0.90099009901,,"{""name"": ""zeta_spectral_coherence"", ""null_model"": ""markov_1"", ""observed"": 0.000280813955, ""null_mean"": 0.00026819213, ""null_std"": 8.6926154e-05, ""z_score"": 0.145201699691, ""empirical_p"": 0.90099009901, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,critical_line_symmetry,markov_1,0.824142627943,0.784084692836,0.042087057052,0.951787506979,0.951787506979,0.306930693069,,"{""name"": ""critical_line_symmetry"", ""null_model"": ""markov_1"", ""observed"": 0.824142627943, ""null_mean"": 0.784084692836, ""null_std"": 0.042087057052, ""z_score"": 0.951787506979, ""empirical_p"": 0.306930693069, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,gap_entropy,markov_2,1.690138723336,1.692802848172,0.018098540828,-0.14720108443,0.14720108443,0.920792079208,False,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 1.690138723336, ""null_mean"": 1.692802848172, ""null_std"": 0.018098540828, ""z_score"": -0.14720108443, ""empirical_p"": 0.920792079208, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,7656,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4414,run_entropy,markov_2,1.871665128583,1.873939043246,0.019393422742,-0.117251848388,0.117251848388,0.920792079208,False,"{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 1.871665128583, ""null_mean"": 1.873939043246, ""null_std"": 0.019393422742, ""z_score"": -0.117251848388, ""empirical_p"": 0.920792079208, ""null_samples"": 100}"
