report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
outputs\canonical_udhr_v0_3_nulls100\zh_udhr_zh_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,2989,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4,gap_entropy,density_shuffle,0.918295834054,1.584962500721,0.0,-271577275817679.62,271577275817679.62,0.009900990099,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.918295834054, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -271577275817679.62, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\zh_udhr_zh_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,2989,,,vowel,Positions classified as vowel in the grapheme-class stream.,4,gap_entropy,density_shuffle,0.918295834054,1.584962500721,0.0,-271577275817679.62,271577275817679.62,0.009900990099,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.918295834054, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -271577275817679.62, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,11932,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\el_udhr_el_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,5470,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\en_udhr_en_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,10638,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,11965,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\fr_udhr_fr_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,11902,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,5572,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ru_udhr_ru_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme_class,5419,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-238293783602023.7,238293783602023.7,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -238293783602023.7, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
outputs\canonical_udhr_v0_3_nulls100\ru_udhr_ru_canonical.json,canonical_udhr_v0_3_nulls100,,,,unknown,unknown,unknown,,,,,,,,,grapheme,5419,,,vowel,Basic Latin-vowel positions plus common accented vowels.,3,run_entropy,density_shuffle,1.584962500721,2.128085278891,0.0,-164758570745797.25,164758570745797.25,0.009900990099,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.584962500721, ""null_mean"": 2.128085278891, ""null_std"": 0.0, ""z_score"": -164758570745797.25, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
