"report_group","corpus_family","language_guess","severity","code","count"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","info","STATISTICAL_DEVIATION","50"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","info","SURVIVES_MARKOV_2_NULL","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","warning","LOW_EVENT_COUNT","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","warning","OVER_REGULARITY_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ar","warning","PERIODICITY_OR_CLUSTERING_WARNING","15"
"canonical_udhr_v0_3_nulls100","parallel_udhr","cy","info","STATISTICAL_DEVIATION","40"
"canonical_udhr_v0_3_nulls100","parallel_udhr","cy","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","cy","warning","LOW_EVENT_COUNT","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","cy","warning","OVER_REGULARITY_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","cy","warning","PERIODICITY_OR_CLUSTERING_WARNING","10"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","info","STATISTICAL_DEVIATION","68"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","info","SURVIVES_MARKOV_2_NULL","7"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","warning","OVER_REGULARITY_WARNING","16"
"canonical_udhr_v0_3_nulls100","parallel_udhr","de","warning","PERIODICITY_OR_CLUSTERING_WARNING","17"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","info","STATISTICAL_DEVIATION","41"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","info","SURVIVES_MARKOV_2_NULL","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","warning","DEGENERATE_EVENT_MAP","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","warning","LOW_EVENT_COUNT","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","warning","OVER_REGULARITY_WARNING","6"
"canonical_udhr_v0_3_nulls100","parallel_udhr","el","warning","PERIODICITY_OR_CLUSTERING_WARNING","15"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","info","STATISTICAL_DEVIATION","54"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","info","SURVIVES_MARKOV_2_NULL","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","warning","OVER_REGULARITY_WARNING","17"
"canonical_udhr_v0_3_nulls100","parallel_udhr","en","warning","PERIODICITY_OR_CLUSTERING_WARNING","16"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","info","STATISTICAL_DEVIATION","65"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","info","SURVIVES_MARKOV_2_NULL","8"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","warning","OVER_REGULARITY_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","es","warning","PERIODICITY_OR_CLUSTERING_WARNING","18"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","info","STATISTICAL_DEVIATION","54"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","info","SURVIVES_MARKOV_2_NULL","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","warning","DEGENERATE_EVENT_MAP","2"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","warning","OVER_REGULARITY_WARNING","16"
"canonical_udhr_v0_3_nulls100","parallel_udhr","fr","warning","PERIODICITY_OR_CLUSTERING_WARNING","15"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","info","STATISTICAL_DEVIATION","44"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","info","SURVIVES_MARKOV_2_NULL","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","warning","DEGENERATE_EVENT_MAP","4"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","warning","LOW_EVENT_COUNT","5"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","warning","OVER_REGULARITY_WARNING","17"
"canonical_udhr_v0_3_nulls100","parallel_udhr","he","warning","PERIODICITY_OR_CLUSTERING_WARNING","15"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","info","STATISTICAL_DEVIATION","64"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","info","SURVIVES_MARKOV_2_NULL","6"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","warning","DEGENERATE_EVENT_MAP","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","warning","LOW_EVENT_COUNT","3"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","warning","OVER_REGULARITY_WARNING","20"
"canonical_udhr_v0_3_nulls100","parallel_udhr","is","warning","PERIODICITY_OR_CLUSTERING_WARNING","20"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","info","STATISTICAL_DEVIATION","61"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","info","SURVIVES_MARKOV_2_NULL","8"
"canonical_udhr_v0_3_nulls100","parallel_udhr","ja","warning","DEGENERATE_EVENT_MAP","4"
