"report_file","report_group","experiment","status","language_reported","language_guess","corpus_family","source","input","input_bytes","input_chars","cleaned_chars","null_samples","seed","tool_version","hyphen_policy","encoding","encoding_sequence_len","encoding_unique_symbols","encoding_symbol_entropy_bits","event","event_description","event_count","metric","null_model","observed","null_mean","null_std","z","abs_z","p_emp","survives_markov_2","raw_metric_json"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme","7656","","","whitespace","Whitespace positions.","1350","gap_entropy","markov_2","2.941187947255","3.140720777237","0.039025595605","-5.112870845044","5.112870845044","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.941187947255, ""null_mean"": 3.140720777237, ""null_std"": 0.039025595605, ""z_score"": -5.112870845044, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme","7656","","","whitespace","Whitespace positions.","1350","run_entropy","markov_2","2.439546041259","2.538960765781","0.018786382922","-5.291850215841","5.291850215841","0.009900990099","True","{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.439546041259, ""null_mean"": 2.538960765781, ""null_std"": 0.018786382922, ""z_score"": -5.291850215841, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme","7656","","","whitespace","Whitespace positions.","1350","prime_gap_affinity","markov_2","0.484803558191","0.532353412721","0.01363164109","-3.488197364874","3.488197364874","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.484803558191, ""null_mean"": 0.532353412721, ""null_std"": 0.01363164109, ""z_score"": -3.488197364874, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme_class","7656","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1350","gap_entropy","markov_2","2.941187947255","3.135661290317","0.040831926921","-4.762776526288","4.762776526288","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.941187947255, ""null_mean"": 3.135661290317, ""null_std"": 0.040831926921, ""z_score"": -4.762776526288, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme_class","7656","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1350","run_entropy","markov_2","2.439546041259","2.534597943342","0.019088471974","-4.979544838113","4.979544838113","0.009900990099","True","{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.439546041259, ""null_mean"": 2.534597943342, ""null_std"": 0.019088471974, ""z_score"": -4.979544838113, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","grapheme_class","7656","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1350","prime_gap_affinity","markov_2","0.484803558191","0.535400975707","0.011858619779","-4.26672061824","4.26672061824","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.484803558191, ""null_mean"": 0.535400975707, ""null_std"": 0.011858619779, ""z_score"": -4.26672061824, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","word_boundary","7656","","","word_boundary","Positions marked as word boundaries after declared whitespace preprocessing.","1350","gap_entropy","markov_2","2.941187947255","3.141945536947","0.041773210884","-4.805893189478","4.805893189478","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.941187947255, ""null_mean"": 3.141945536947, ""null_std"": 0.041773210884, ""z_score"": -4.805893189478, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","word_boundary","7656","","","word_boundary","Positions marked as word boundaries after declared whitespace preprocessing.","1350","run_entropy","markov_2","2.439546041259","2.540003632799","0.021434407777","-4.68674444309","4.68674444309","0.009900990099","True","{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.439546041259, ""null_mean"": 2.540003632799, ""null_std"": 0.021434407777, ""z_score"": -4.68674444309, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","word_boundary","7656","","","word_boundary","Positions marked as word boundaries after declared whitespace preprocessing.","1350","prime_gap_affinity","markov_2","0.484803558191","0.533382086918","0.014528567397","-3.343655805782","3.343655805782","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.484803558191, ""null_mean"": 0.533382086918, ""null_std"": 0.014528567397, ""z_score"": -3.343655805782, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","","","frequency_class","1351","","","high_frequency","Token positions in frequency class high_frequency.","483","critical_line_symmetry","markov_2","0.696316083891","0.814881305713","0.037275022087","-3.180822308941","3.180822308941","0.019801980198","True","{""name"": ""critical_line_symmetry"", ""null_model"": ""markov_2"", ""observed"": 0.696316083891, ""null_mean"": 0.814881305713, ""null_std"": 0.037275022087, ""z_score"": -3.180822308941, ""empirical_p"": 0.019801980198, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme","11932","","","vowel","Basic Latin-vowel positions plus common accented vowels.","3830","prime_gap_affinity","markov_2","0.604596500392","0.647085645742","0.00701053833","-6.060753589891","6.060753589891","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.604596500392, ""null_mean"": 0.647085645742, ""null_std"": 0.00701053833, ""z_score"": -6.060753589891, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme","11932","","","whitespace","Whitespace positions.","1641","gap_entropy","markov_2","3.551874814698","3.717429237914","0.038954428226","-4.249951308645","4.249951308645","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.551874814698, ""null_mean"": 3.717429237914, ""null_std"": 0.038954428226, ""z_score"": -4.249951308645, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme","11932","","","whitespace","Whitespace positions.","1641","run_entropy","markov_2","2.749784455725","2.831851870334","0.018778356483","-4.370319345134","4.370319345134","0.009900990099","True","{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.749784455725, ""null_mean"": 2.831851870334, ""null_std"": 0.018778356483, ""z_score"": -4.370319345134, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme","11932","","","whitespace","Whitespace positions.","1641","prime_gap_affinity","markov_2","0.324390243902","0.47700049118","0.015366277284","-9.931504192718","9.931504192718","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.324390243902, ""null_mean"": 0.47700049118, ""null_std"": 0.015366277284, ""z_score"": -9.931504192718, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme","11932","","","digit","ASCII digit positions.","62","zeta_spectral_coherence","markov_2","8.4536418e-05","6.03789e-06","6.625284e-06","11.848326379514","11.848326379514","0.009900990099","True","{""name"": ""zeta_spectral_coherence"", ""null_model"": ""markov_2"", ""observed"": 8.4536418e-05, ""null_mean"": 6.03789e-06, ""null_std"": 6.625284e-06, ""z_score"": 11.848326379514, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme_class","11932","","","vowel","Positions classified as vowel in the grapheme-class stream.","3830","prime_gap_affinity","markov_2","0.604596500392","0.64762021027","0.007395045025","-5.81791047035","5.81791047035","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.604596500392, ""null_mean"": 0.64762021027, ""null_std"": 0.007395045025, ""z_score"": -5.81791047035, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme_class","11932","","","digit","Positions classified as digit in the grapheme-class stream.","62","zeta_spectral_coherence","markov_2","8.4536418e-05","9.62489e-06","1.8358623e-05","4.08045453778","4.08045453778","0.029702970297","True","{""name"": ""zeta_spectral_coherence"", ""null_model"": ""markov_2"", ""observed"": 8.4536418e-05, ""null_mean"": 9.62489e-06, ""null_std"": 1.8358623e-05, ""z_score"": 4.08045453778, ""empirical_p"": 0.029702970297, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme_class","11932","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1641","gap_entropy","markov_2","3.551874814698","3.714210873043","0.036734583785","-4.419161499004","4.419161499004","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.551874814698, ""null_mean"": 3.714210873043, ""null_std"": 0.036734583785, ""z_score"": -4.419161499004, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme_class","11932","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1641","run_entropy","markov_2","2.749784455725","2.828699955851","0.018636154103","-4.234537860704","4.234537860704","0.009900990099","True","{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.749784455725, ""null_mean"": 2.828699955851, ""null_std"": 0.018636154103, ""z_score"": -4.234537860704, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","grapheme_class","11932","","","whitespace","Positions classified as whitespace in the grapheme-class stream.","1641","prime_gap_affinity","markov_2","0.324390243902","0.480342868495","0.012207576641","-12.775068236132","12.775068236132","0.009900990099","True","{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.324390243902, ""null_mean"": 0.480342868495, ""null_std"": 0.012207576641, ""z_score"": -12.775068236132, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","","","word_boundary","11932","","","word_boundary","Positions marked as word boundaries after declared whitespace preprocessing.","1641","gap_entropy","markov_2","3.551874814698","3.722756324917","0.034431773127","-4.96290184032","4.96290184032","0.009900990099","True","{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.551874814698, ""null_mean"": 3.722756324917, ""null_std"": 0.034431773127, ""z_score"": -4.96290184032, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
