"report_file","report_group","experiment","status","language_reported","language_guess","corpus_family","source","input","input_bytes","input_chars","cleaned_chars","null_samples","seed","tool_version","hyphen_policy"
"outputs\canonical_udhr_v0_3_nulls100\ar_udhr_ar_canonical.json","canonical_udhr_v0_3_nulls100","","","","ar","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\cy_udhr_cy_canonical.json","canonical_udhr_v0_3_nulls100","","","","cy","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\de_udhr_de_canonical.json","canonical_udhr_v0_3_nulls100","","","","de","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\el_udhr_el_canonical.json","canonical_udhr_v0_3_nulls100","","","","el","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\en_udhr_en_canonical.json","canonical_udhr_v0_3_nulls100","","","","en","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\es_udhr_es_canonical.json","canonical_udhr_v0_3_nulls100","","","","es","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\fr_udhr_fr_canonical.json","canonical_udhr_v0_3_nulls100","","","","fr","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\he_udhr_he_canonical.json","canonical_udhr_v0_3_nulls100","","","","he","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\is_udhr_is_canonical.json","canonical_udhr_v0_3_nulls100","","","","is","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\ja_udhr_ja_canonical.json","canonical_udhr_v0_3_nulls100","","","","ja","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\la_udhr_la_canonical.json","canonical_udhr_v0_3_nulls100","","","","la","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\mesu_udhr_mesu_canonical.json","canonical_udhr_v0_3_nulls100","","","","mesu","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\ru_udhr_ru_canonical.json","canonical_udhr_v0_3_nulls100","","","","ru","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\sw_udhr_sw_canonical.json","canonical_udhr_v0_3_nulls100","","","","sw","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\tr_udhr_tr_canonical.json","canonical_udhr_v0_3_nulls100","","","","tr","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\xh_udhr_xh_canonical.json","canonical_udhr_v0_3_nulls100","","","","xh","parallel_udhr","udhr","","","","","","","",""
"outputs\canonical_udhr_v0_3_nulls100\zh_udhr_zh_canonical.json","canonical_udhr_v0_3_nulls100","","","","zh","parallel_udhr","udhr","","","","","","","",""
