report_group,corpus_family,language_guess,severity,code,count
controls_paper_minimum_v0_3_nulls100,unknown,mesu,info,STATISTICAL_DEVIATION,90
controls_paper_minimum_v0_3_nulls100,unknown,mesu,info,SURVIVES_MARKOV_2_NULL,11
controls_paper_minimum_v0_3_nulls100,unknown,mesu,warning,DEGENERATE_EVENT_MAP,11
controls_paper_minimum_v0_3_nulls100,unknown,mesu,warning,LOW_EVENT_COUNT,11
controls_paper_minimum_v0_3_nulls100,unknown,mesu,warning,OVER_REGULARITY_WARNING,27
controls_paper_minimum_v0_3_nulls100,unknown,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,39
controls_paper_minimum_v0_3_nulls100,unknown,unknown,info,STATISTICAL_DEVIATION,52
controls_paper_minimum_v0_3_nulls100,unknown,unknown,info,SURVIVES_MARKOV_2_NULL,5
controls_paper_minimum_v0_3_nulls100,unknown,unknown,warning,DEGENERATE_EVENT_MAP,12
controls_paper_minimum_v0_3_nulls100,unknown,unknown,warning,LOW_EVENT_COUNT,11
controls_paper_minimum_v0_3_nulls100,unknown,unknown,warning,OVER_REGULARITY_WARNING,17
controls_paper_minimum_v0_3_nulls100,unknown,unknown,warning,PERIODICITY_OR_CLUSTERING_WARNING,9
