report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,2795,,,vowel,Basic Latin-vowel positions plus common accented vowels.,868,prime_gap_affinity,markov_2,0.76124567474,0.816326743628,0.012714059483,-4.332295987792,4.332295987792,0.009900990099,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.76124567474, ""null_mean"": 0.816326743628, ""null_std"": 0.012714059483, ""z_score"": -4.332295987792, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,2795,,,whitespace,Whitespace positions.,583,gap_entropy,markov_2,2.897553359589,3.130426446429,0.05521982564,-4.217200690871,4.217200690871,0.009900990099,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.897553359589, ""null_mean"": 3.130426446429, ""null_std"": 0.05521982564, ""z_score"": -4.217200690871, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,2795,,,punctuation,Punctuation positions under the declared punctuation/hyphen policies.,372,gap_entropy,markov_2,3.300240153994,3.705308471584,0.07314816705,-5.537641391811,5.537641391811,0.009900990099,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.300240153994, ""null_mean"": 3.705308471584, ""null_std"": 0.07314816705, ""z_score"": -5.537641391811, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,2795,,,punctuation,Punctuation positions under the declared punctuation/hyphen policies.,372,run_entropy,markov_2,2.649632295444,2.853041865418,0.036225796091,-5.61504761589,5.61504761589,0.009900990099,True,"{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.649632295444, ""null_mean"": 2.853041865418, ""null_std"": 0.036225796091, ""z_score"": -5.61504761589, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme,2795,,,punctuation,Punctuation positions under the declared punctuation/hyphen policies.,372,prime_gap_affinity,markov_2,0.547169811321,0.467181390874,0.02311496706,3.460460066451,3.460460066451,0.009900990099,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.547169811321, ""null_mean"": 0.467181390874, ""null_std"": 0.02311496706, ""z_score"": 3.460460066451, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,2795,,,vowel,Positions classified as vowel in the grapheme-class stream.,868,prime_gap_affinity,markov_2,0.76124567474,0.817248051485,0.012575270901,-4.453373385272,4.453373385272,0.009900990099,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.76124567474, ""null_mean"": 0.817248051485, ""null_std"": 0.012575270901, ""z_score"": -4.453373385272, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,2795,,,whitespace,Positions classified as whitespace in the grapheme-class stream.,583,gap_entropy,markov_2,2.897553359589,3.113507026518,0.066722706071,-3.236584360049,3.236584360049,0.009900990099,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.897553359589, ""null_mean"": 3.113507026518, ""null_std"": 0.066722706071, ""z_score"": -3.236584360049, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,2795,,,punctuation,Positions classified as punctuation in the grapheme-class stream.,372,gap_entropy,markov_2,3.300240153994,3.689020196915,0.068883676061,-5.644008350764,5.644008350764,0.009900990099,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.300240153994, ""null_mean"": 3.689020196915, ""null_std"": 0.068883676061, ""z_score"": -5.644008350764, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,grapheme_class,2795,,,punctuation,Positions classified as punctuation in the grapheme-class stream.,372,run_entropy,markov_2,2.649632295444,2.845055463887,0.034181965212,-5.717142570019,5.717142570019,0.009900990099,True,"{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.649632295444, ""null_mean"": 2.845055463887, ""null_std"": 0.034181965212, ""z_score"": -5.717142570019, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
C:\github\5hr-conlang\riemann_analysis\rrlang\outputs\controls_paper_minimum_v0_3_nulls100\control_mesu_udhr_duplicated_x4.json,controls_paper_minimum_v0_3_nulls100,,,,mesu,unknown,unknown,,,,,,,,,word_boundary,2795,,,word_boundary,Positions marked as word boundaries after declared whitespace preprocessing.,583,gap_entropy,markov_2,2.897553359589,3.12882273965,0.060574723809,-3.817918853249,3.817918853249,0.009900990099,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.897553359589, ""null_mean"": 3.12882273965, ""null_std"": 0.060574723809, ""z_score"": -3.817918853249, ""empirical_p"": 0.009900990099, ""null_samples"": 100}"
