report_group,corpus_family,language_guess,severity,code,count
corpus_batch_curated,controls,mesu,info,STATISTICAL_DEVIATION,159
corpus_batch_curated,controls,mesu,info,SURVIVES_MARKOV_2_NULL,18
corpus_batch_curated,controls,mesu,warning,DEGENERATE_EVENT_MAP,11
corpus_batch_curated,controls,mesu,warning,LOW_EVENT_COUNT,12
corpus_batch_curated,controls,mesu,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,controls,mesu,warning,OVER_REGULARITY_WARNING,49
corpus_batch_curated,controls,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,58
corpus_batch_curated,controls,mesu,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,40
corpus_batch_curated,controls,unknown,info,STATISTICAL_DEVIATION,38
corpus_batch_curated,controls,unknown,info,SURVIVES_MARKOV_2_NULL,2
corpus_batch_curated,controls,unknown,warning,DEGENERATE_EVENT_MAP,14
corpus_batch_curated,controls,unknown,warning,LOW_EVENT_COUNT,15
corpus_batch_curated,controls,unknown,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,controls,unknown,warning,OVER_REGULARITY_WARNING,11
corpus_batch_curated,controls,unknown,warning,PERIODICITY_OR_CLUSTERING_WARNING,6
corpus_batch_curated,controls,unknown,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,27
corpus_batch_curated,controls,unknown,warning,WINDOW_TOO_SMALL,3
corpus_batch_curated,parallel_udhr,ar,info,STATISTICAL_DEVIATION,81
corpus_batch_curated,parallel_udhr,ar,info,SURVIVES_MARKOV_2_NULL,5
corpus_batch_curated,parallel_udhr,ar,warning,DEGENERATE_EVENT_MAP,2
corpus_batch_curated,parallel_udhr,ar,warning,LOW_EVENT_COUNT,2
corpus_batch_curated,parallel_udhr,ar,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,ar,warning,OVER_REGULARITY_WARNING,25
corpus_batch_curated,parallel_udhr,ar,warning,PERIODICITY_OR_CLUSTERING_WARNING,22
corpus_batch_curated,parallel_udhr,ar,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,cy,info,STATISTICAL_DEVIATION,67
corpus_batch_curated,parallel_udhr,cy,info,SURVIVES_MARKOV_2_NULL,2
corpus_batch_curated,parallel_udhr,cy,warning,DEGENERATE_EVENT_MAP,2
corpus_batch_curated,parallel_udhr,cy,warning,LOW_EVENT_COUNT,2
corpus_batch_curated,parallel_udhr,cy,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,cy,warning,OVER_REGULARITY_WARNING,25
corpus_batch_curated,parallel_udhr,cy,warning,PERIODICITY_OR_CLUSTERING_WARNING,17
corpus_batch_curated,parallel_udhr,cy,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,de,info,STATISTICAL_DEVIATION,195
corpus_batch_curated,parallel_udhr,de,info,SURVIVES_MARKOV_2_NULL,20
corpus_batch_curated,parallel_udhr,de,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,de,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,de,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,de,warning,OVER_REGULARITY_WARNING,47
corpus_batch_curated,parallel_udhr,de,warning,PERIODICITY_OR_CLUSTERING_WARNING,48
corpus_batch_curated,parallel_udhr,de,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,56
corpus_batch_curated,parallel_udhr,el,info,STATISTICAL_DEVIATION,73
corpus_batch_curated,parallel_udhr,el,info,SURVIVES_MARKOV_2_NULL,7
corpus_batch_curated,parallel_udhr,el,warning,DEGENERATE_EVENT_MAP,4
corpus_batch_curated,parallel_udhr,el,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,el,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,el,warning,OVER_REGULARITY_WARNING,14
corpus_batch_curated,parallel_udhr,el,warning,PERIODICITY_OR_CLUSTERING_WARNING,19
corpus_batch_curated,parallel_udhr,el,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,29
corpus_batch_curated,parallel_udhr,en,info,STATISTICAL_DEVIATION,159
corpus_batch_curated,parallel_udhr,en,info,SURVIVES_MARKOV_2_NULL,10
corpus_batch_curated,parallel_udhr,en,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,en,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,en,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,en,warning,OVER_REGULARITY_WARNING,47
corpus_batch_curated,parallel_udhr,en,warning,PERIODICITY_OR_CLUSTERING_WARNING,42
corpus_batch_curated,parallel_udhr,en,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,56
corpus_batch_curated,parallel_udhr,es,info,STATISTICAL_DEVIATION,183
corpus_batch_curated,parallel_udhr,es,info,SURVIVES_MARKOV_2_NULL,19
corpus_batch_curated,parallel_udhr,es,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,es,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,es,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,es,warning,OVER_REGULARITY_WARNING,50
corpus_batch_curated,parallel_udhr,es,warning,PERIODICITY_OR_CLUSTERING_WARNING,48
corpus_batch_curated,parallel_udhr,es,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,56
corpus_batch_curated,parallel_udhr,fr,info,STATISTICAL_DEVIATION,160
corpus_batch_curated,parallel_udhr,fr,info,SURVIVES_MARKOV_2_NULL,9
corpus_batch_curated,parallel_udhr,fr,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,fr,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,fr,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,fr,warning,OVER_REGULARITY_WARNING,48
corpus_batch_curated,parallel_udhr,fr,warning,PERIODICITY_OR_CLUSTERING_WARNING,46
corpus_batch_curated,parallel_udhr,fr,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,56
corpus_batch_curated,parallel_udhr,he,info,STATISTICAL_DEVIATION,72
corpus_batch_curated,parallel_udhr,he,info,SURVIVES_MARKOV_2_NULL,7
corpus_batch_curated,parallel_udhr,he,warning,DEGENERATE_EVENT_MAP,4
corpus_batch_curated,parallel_udhr,he,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,he,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,he,warning,OVER_REGULARITY_WARNING,24
corpus_batch_curated,parallel_udhr,he,warning,PERIODICITY_OR_CLUSTERING_WARNING,22
corpus_batch_curated,parallel_udhr,he,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,is,info,STATISTICAL_DEVIATION,92
corpus_batch_curated,parallel_udhr,is,info,SURVIVES_MARKOV_2_NULL,8
corpus_batch_curated,parallel_udhr,is,warning,DEGENERATE_EVENT_MAP,3
corpus_batch_curated,parallel_udhr,is,warning,LOW_EVENT_COUNT,3
corpus_batch_curated,parallel_udhr,is,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,is,warning,OVER_REGULARITY_WARNING,31
corpus_batch_curated,parallel_udhr,is,warning,PERIODICITY_OR_CLUSTERING_WARNING,26
corpus_batch_curated,parallel_udhr,is,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,24
corpus_batch_curated,parallel_udhr,ja,info,STATISTICAL_DEVIATION,173
corpus_batch_curated,parallel_udhr,ja,info,SURVIVES_MARKOV_2_NULL,20
corpus_batch_curated,parallel_udhr,ja,warning,DEGENERATE_EVENT_MAP,8
corpus_batch_curated,parallel_udhr,ja,warning,LOW_EVENT_COUNT,8
corpus_batch_curated,parallel_udhr,ja,warning,LOW_NULL_SAMPLE_COUNT,38
corpus_batch_curated,parallel_udhr,ja,warning,OVER_REGULARITY_WARNING,47
corpus_batch_curated,parallel_udhr,ja,warning,PERIODICITY_OR_CLUSTERING_WARNING,47
corpus_batch_curated,parallel_udhr,ja,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,53
corpus_batch_curated,parallel_udhr,la,info,STATISTICAL_DEVIATION,69
corpus_batch_curated,parallel_udhr,la,info,SURVIVES_MARKOV_2_NULL,7
corpus_batch_curated,parallel_udhr,la,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,la,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,la,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,la,warning,OVER_REGULARITY_WARNING,20
corpus_batch_curated,parallel_udhr,la,warning,PERIODICITY_OR_CLUSTERING_WARNING,23
corpus_batch_curated,parallel_udhr,la,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,28
corpus_batch_curated,parallel_udhr,mesu,info,STATISTICAL_DEVIATION,41
corpus_batch_curated,parallel_udhr,mesu,info,SURVIVES_MARKOV_2_NULL,3
corpus_batch_curated,parallel_udhr,mesu,warning,DEGENERATE_EVENT_MAP,5
corpus_batch_curated,parallel_udhr,mesu,warning,LOW_EVENT_COUNT,6
corpus_batch_curated,parallel_udhr,mesu,warning,LOW_NULL_SAMPLE_COUNT,19
corpus_batch_curated,parallel_udhr,mesu,warning,OVER_REGULARITY_WARNING,10
corpus_batch_curated,parallel_udhr,mesu,warning,PERIODICITY_OR_CLUSTERING_WARNING,18
corpus_batch_curated,parallel_udhr,mesu,warning,RAW_LAYER_FINDING_NOT_LINGUISTIC,13
corpus_batch_curated,parallel_udhr,ru,info,STATISTICAL_DEVIATION,59
corpus_batch_curated,parallel_udhr,ru,info,SURVIVES_MARKOV_2_NULL,6
corpus_batch_curated,parallel_udhr,ru,warning,DEGENERATE_EVENT_MAP,2
corpus_batch_curated,parallel_udhr,ru,warning,LOW_EVENT_COUNT,5
corpus_batch_curated,parallel_udhr,ru,warning,LOW_NULL_SAMPLE_COUNT,19
