report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,gap_entropy,markov_2,2.047690955921,2.144400670056,0.014272408976,-6.77599095536,6.77599095536,0.038461538462,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.047690955921, ""null_mean"": 2.144400670056, ""null_std"": 0.014272408976, ""z_score"": -6.77599095536, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,run_entropy,markov_2,1.795398203265,1.870467804777,0.016899304263,-4.442171129916,4.442171129916,0.038461538462,True,"{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 1.795398203265, ""null_mean"": 1.870467804777, ""null_std"": 0.016899304263, ""z_score"": -4.442171129916, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_one,Positions where the bitstream contains 1.,7655,prime_gap_affinity,markov_2,0.530572249804,0.482608530016,0.005418245939,8.852259629066,8.852259629066,0.038461538462,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.530572249804, ""null_mean"": 0.482608530016, ""null_std"": 0.005418245939, ""z_score"": 8.852259629066, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_transition,Positions where the bitstream changes from the previous bit.,8896,gap_entropy,markov_2,1.795588719526,1.87501315896,0.012025637482,-6.604592858359,6.604592858359,0.038461538462,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 1.795588719526, ""null_mean"": 1.87501315896, ""null_std"": 0.012025637482, ""z_score"": -6.604592858359, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_transition,Positions where the bitstream changes from the previous bit.,8896,prime_index_occupancy_bias,markov_2,-0.051480165945,0.000230303478,0.011712060451,-4.415147073294,4.415147073294,0.038461538462,True,"{""name"": ""prime_index_occupancy_bias"", ""null_model"": ""markov_2"", ""observed"": -0.051480165945, ""null_mean"": 0.000230303478, ""null_std"": 0.011712060451, ""z_score"": -4.415147073294, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,utf8_bits,16768,,,bit_transition,Positions where the bitstream changes from the previous bit.,8896,prime_gap_affinity,markov_2,0.392467678471,0.413171678842,0.004351784235,-4.757588899738,4.757588899738,0.038461538462,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.392467678471, ""null_mean"": 0.413171678842, ""null_std"": 0.004351784235, ""z_score"": -4.757588899738, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,grapheme,2096,,,punctuation,Punctuation positions under the declared punctuation/hyphen policies.,279,gap_entropy,markov_2,3.300139438354,3.674832947746,0.074276321406,-5.044588938992,5.044588938992,0.038461538462,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.300139438354, ""null_mean"": 3.674832947746, ""null_std"": 0.074276321406, ""z_score"": -5.044588938992, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,grapheme,2096,,,punctuation,Punctuation positions under the declared punctuation/hyphen policies.,279,run_entropy,markov_2,2.649409528977,2.838342917029,0.036123124096,-5.230261578381,5.230261578381,0.038461538462,True,"{""name"": ""run_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.649409528977, ""null_mean"": 2.838342917029, ""null_std"": 0.036123124096, ""z_score"": -5.230261578381, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,grapheme_class,2096,,,vowel,Positions classified as vowel in the grapheme-class stream.,651,prime_gap_affinity,markov_2,0.761538461538,0.815436326878,0.015667283605,-3.440153806955,3.440153806955,0.038461538462,True,"{""name"": ""prime_gap_affinity"", ""null_model"": ""markov_2"", ""observed"": 0.761538461538, ""null_mean"": 0.815436326878, ""null_std"": 0.015667283605, ""z_score"": -3.440153806955, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,grapheme_class,2096,,,whitespace,Positions classified as whitespace in the grapheme-class stream.,437,gap_entropy,markov_2,2.896741885045,3.121854416983,0.071601979278,-3.143942865939,3.143942865939,0.038461538462,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 2.896741885045, ""null_mean"": 3.121854416983, ""null_std"": 0.071601979278, ""z_score"": -3.143942865939, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,,grapheme_class,2096,,,punctuation,Positions classified as punctuation in the grapheme-class stream.,279,gap_entropy,markov_2,3.300139438354,3.671835747103,0.070551291651,-5.268455049515,5.268455049515,0.038461538462,True,"{""name"": ""gap_entropy"", ""null_model"": ""markov_2"", ""observed"": 3.300139438354, ""null_mean"": 3.671835747103, ""null_std"": 0.070551291651, ""z_score"": -5.268455049515, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
