report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy
outputs\corpus_batch_curated\testdata_datasets_controls_duplicated_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_controls_punctuation_noise_udhr_mesu.json,corpus_batch_curated,,,,mesu,controls,controls,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ar_udhr_ar.json,corpus_batch_curated,,,,ar,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_cy_udhr_cy.json,corpus_batch_curated,,,,cy,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_de_udhr_de.json,corpus_batch_curated,,,,de,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_de_udhr_de_text_only.json,corpus_batch_curated,,,,de,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_el_udhr_el.json,corpus_batch_curated,,,,el,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en_text_only.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es_text_only.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_fr_udhr_fr.json,corpus_batch_curated,,,,fr,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_fr_udhr_fr_text_only.json,corpus_batch_curated,,,,fr,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_he_udhr_he.json,corpus_batch_curated,,,,he,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_is_udhr_is.json,corpus_batch_curated,,,,is,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ja_udhr_ja.json,corpus_batch_curated,,,,ja,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ja_udhr_ja_text_only.json,corpus_batch_curated,,,,ja,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_la_udhr_la.json,corpus_batch_curated,,,,la,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_mesu_udhr_mesu_text_only.json,corpus_batch_curated,,,,mesu,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_sw_udhr_sw.json,corpus_batch_curated,,,,sw,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_tr_udhr_tr.json,corpus_batch_curated,,,,tr,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_xh_udhr_xh.json,corpus_batch_curated,,,,xh,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh_text_only.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_private_parallel_basho_prepared_basho_mesu_text_only.json,corpus_batch_curated,,,,mesu,private_parallel,private_parallel,,,,,,,,
outputs\corpus_batch_curated\testdata_datasets_private_parallel_dylan_thomas_prepared_thomas_mesu_text_only.json,corpus_batch_curated,,,,mesu,private_parallel,private_parallel,,,,,,,,
