report_file,report_group,experiment,status,language_reported,language_guess,corpus_family,source,input,input_bytes,input_chars,cleaned_chars,null_samples,seed,tool_version,hyphen_policy,encoding,encoding_sequence_len,encoding_unique_symbols,encoding_symbol_entropy_bits,event,event_description,event_count,metric,null_model,observed,null_mean,null_std,z,abs_z,p_emp,survives_markov_2,raw_metric_json
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme,10001,,,digit,ASCII digit positions.,10000,prime_gap_affinity,density_shuffle,0.0,0.000100010001,0.0,-3615170348738707.0,3615170348738707.0,0.038461538462,,"{""name"": ""prime_gap_affinity"", ""null_model"": ""density_shuffle"", ""observed"": 0, ""null_mean"": 0.000100010001, ""null_std"": 0.0, ""z_score"": -3615170348738707, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme_class,10001,,,digit,Positions classified as digit in the grapheme-class stream.,10000,prime_gap_affinity,density_shuffle,0.0,0.000100010001,0.0,-3615170348738707.0,3615170348738707.0,0.038461538462,,"{""name"": ""prime_gap_affinity"", ""null_model"": ""density_shuffle"", ""observed"": 0, ""null_mean"": 0.000100010001, ""null_std"": 0.0, ""z_score"": -3615170348738707, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme,9859,,,digit,ASCII digit positions.,11,gap_entropy,density_shuffle,1.156779649447,3.321928094887,0.0,-1592325383001202.5,1592325383001202.5,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.156779649447, ""null_mean"": 3.321928094887, ""null_std"": 0.0, ""z_score"": -1592325383001202.5, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh_text_only.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme,2989,,,vowel,Basic Latin-vowel positions plus common accented vowels.,4,gap_entropy,density_shuffle,0.918295834054,1.584962500721,0.0,-735434739523077.0,735434739523077.0,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.918295834054, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -735434739523077, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh_text_only.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme_class,2989,,,vowel,Positions classified as vowel in the grapheme-class stream.,4,gap_entropy,density_shuffle,0.918295834054,1.584962500721,0.0,-735434739523077.0,735434739523077.0,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 0.918295834054, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -735434739523077, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme,10001,,,digit,ASCII digit positions.,10000,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme_class,10001,,,digit,Positions classified as digit in the grapheme-class stream.,10000,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_controls_random_bits_10k.json,corpus_batch_curated,,,,unknown,controls,controls,,,,,,,,,grapheme_class,10001,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_de_udhr_de_text_only.json,corpus_batch_curated,,,,de,parallel_udhr,udhr,,,,,,,,,grapheme_class,11932,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_el_udhr_el.json,corpus_batch_curated,,,,el,parallel_udhr,udhr,,,,,,,,,grapheme_class,5470,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_en_udhr_en_text_only.json,corpus_batch_curated,,,,en,parallel_udhr,udhr,,,,,,,,,grapheme_class,10638,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_es_udhr_es_text_only.json,corpus_batch_curated,,,,es,parallel_udhr,udhr,,,,,,,,,grapheme_class,11965,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_fr_udhr_fr_text_only.json,corpus_batch_curated,,,,fr,parallel_udhr,udhr,,,,,,,,,grapheme_class,11902,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_he_udhr_he.json,corpus_batch_curated,,,,he,parallel_udhr,udhr,,,,,,,,,grapheme_class,5572,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,grapheme_class,5419,,,other,Positions classified as other in the grapheme-class stream.,1,run_entropy,density_shuffle,1.0,1.584962500721,0.0,-645302616522946.8,645302616522946.8,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1, ""null_mean"": 1.584962500721, ""null_std"": 0.0, ""z_score"": -645302616522946.8, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_zh_udhr_zh_text_only.json,corpus_batch_curated,,,,zh,parallel_udhr,udhr,,,,,,,,,grapheme_class,2989,,,other,Positions classified as other in the grapheme-class stream.,8,gap_entropy,density_shuffle,2.521640636343,2.807354922058,0.0,-630372633876925.9,630372633876925.9,0.038461538462,,"{""name"": ""gap_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 2.521640636343, ""null_mean"": 2.807354922058, ""null_std"": 0.0, ""z_score"": -630372633876925.9, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
outputs\corpus_batch_curated\testdata_datasets_parallel_udhr_ru_udhr_ru.json,corpus_batch_curated,,,,ru,parallel_udhr,udhr,,,,,,,,,grapheme,5419,,,vowel,Basic Latin-vowel positions plus common accented vowels.,3,run_entropy,density_shuffle,1.584962500721,2.128085278891,0.0,-497564533018111.1,497564533018111.1,0.038461538462,,"{""name"": ""run_entropy"", ""null_model"": ""density_shuffle"", ""observed"": 1.584962500721, ""null_mean"": 2.128085278891, ""null_std"": 0.0, ""z_score"": -497564533018111.1, ""empirical_p"": 0.038461538462, ""null_samples"": 25}"
